Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = CH3OH
Var Index  2 = Live
Var Index  3 = Dead

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Grid  6,  Grid  7,  Grid  8,  Grid  9,  Grid  10,  Grid  11,  Grid  12,  Bulk
0,    0.000,  1,  0,   5.00000e+00
0,    0.000,  2,  1,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01,   2.50000e+01
0,    0.000,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   0.00000e+00
0,    0.000,  3,  3,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.100,  1,  0,   6.05000e+00
0,    0.100,  2,  1,   2.45933e+01,   2.45935e+01,   2.45942e+01,   2.45953e+01,   2.45968e+01,   2.45988e+01,   2.46013e+01,   2.46041e+01,   2.46075e+01,   2.46112e+01,   2.46154e+01,   2.46201e+01,   2.46623e+01
0,    0.100,  3,  2,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   7.92800e-02,   8.40000e-04
0,    0.100,  3,  3,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   7.20000e-04,   1.00000e-05
0,    0.200,  1,  0,   7.32000e+00
0,    0.200,  2,  1,   2.43775e+01,   2.43778e+01,   2.43787e+01,   2.43803e+01,   2.43826e+01,   2.43855e+01,   2.43890e+01,   2.43932e+01,   2.43980e+01,   2.44034e+01,   2.44095e+01,   2.44162e+01,   2.44668e+01
0,    0.200,  3,  2,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   7.86900e-02,   1.59000e-03
0,    0.200,  3,  3,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   1.31000e-03,   3.00000e-05
0,    0.300,  1,  0,   8.83000e+00
0,    0.300,  2,  1,   2.41954e+01,   2.41959e+01,   2.41973e+01,   2.41996e+01,   2.42029e+01,   2.42070e+01,   2.42121e+01,   2.42182e+01,   2.42251e+01,   2.42330e+01,   2.42418e+01,   2.42515e+01,   2.43122e+01
0,    0.300,  3,  2,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   7.82000e-02,   2.47000e-03
0,    0.300,  3,  3,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   1.80000e-03,   6.00000e-05
0,    0.400,  1,  0,   1.06300e+01
0,    0.400,  2,  1,   2.40034e+01,   2.40041e+01,   2.40061e+01,   2.40094e+01,   2.40141e+01,   2.40201e+01,   2.40275e+01,   2.40362e+01,   2.40462e+01,   2.40576e+01,   2.40703e+01,   2.40844e+01,   2.41570e+01
0,    0.400,  3,  2,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   7.78000e-02,   3.65000e-03
0,    0.400,  3,  3,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   2.20000e-03,   1.00000e-04
0,    0.500,  1,  0,   1.27900e+01
0,    0.500,  2,  1,   2.37791e+01,   2.37801e+01,   2.37830e+01,   2.37878e+01,   2.37945e+01,   2.38032e+01,   2.38138e+01,   2.38263e+01,   2.38408e+01,   2.38572e+01,   2.38755e+01,   2.38958e+01,   2.39828e+01
0,    0.500,  3,  2,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   7.74700e-02,   5.30000e-03
0,    0.500,  3,  3,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   2.53000e-03,   1.70000e-04
0,    0.600,  1,  0,   1.53700e+01
0,    0.600,  2,  1,   2.35069e+01,   2.35083e+01,   2.35125e+01,   2.35194e+01,   2.35291e+01,   2.35416e+01,   2.35568e+01,   2.35749e+01,   2.35957e+01,   2.36192e+01,   2.36456e+01,   2.36747e+01,   2.37789e+01
0,    0.600,  3,  2,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.71900e-02,   7.66000e-03
0,    0.600,  3,  3,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.81000e-03,   2.80000e-04
0,    0.700,  1,  0,   1.84500e+01
0,    0.700,  2,  1,   2.31718e+01,   2.31738e+01,   2.31797e+01,   2.31897e+01,   2.32036e+01,   2.32215e+01,   2.32434e+01,   2.32693e+01,   2.32991e+01,   2.33329e+01,   2.33707e+01,   2.34125e+01,   2.35371e+01
0,    0.700,  3,  2,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   7.69600e-02,   1.10200e-02
0,    0.700,  3,  3,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   3.04000e-03,   4.40000e-04
0,    0.800,  1,  0,   2.21100e+01
0,    0.800,  2,  1,   2.27561e+01,   2.27589e+01,   2.27675e+01,   2.27817e+01,   2.28016e+01,   2.28273e+01,   2.28586e+01,   2.28957e+01,   2.29384e+01,   2.29868e+01,   2.30410e+01,   2.31008e+01,   2.32496e+01
0,    0.800,  3,  2,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   7.67700e-02,   1.58200e-02
0,    0.800,  3,  3,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   3.23000e-03,   6.70000e-04
0,    0.900,  1,  0,   2.64700e+01
0,    0.900,  2,  1,   2.22379e+01,   2.22419e+01,   2.22541e+01,   2.22745e+01,   2.23030e+01,   2.23396e+01,   2.23843e+01,   2.24372e+01,   2.24982e+01,   2.25674e+01,   2.26447e+01,   2.27302e+01,   2.29078e+01
0,    0.900,  3,  2,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   7.66100e-02,   2.26500e-02
0,    0.900,  3,  3,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   3.39000e-03,   1.00000e-03
0,    1.000,  1,  0,   3.16300e+01
0,    1.000,  2,  1,   2.15893e+01,   2.15951e+01,   2.16125e+01,   2.16415e+01,   2.16820e+01,   2.17341e+01,   2.17979e+01,   2.18732e+01,   2.19601e+01,   2.20586e+01,   2.21687e+01,   2.22904e+01,   2.25020e+01
0,    1.000,  3,  2,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   7.64800e-02,   3.23600e-02
0,    1.000,  3,  3,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   3.52000e-03,   1.49000e-03
0,    1.100,  1,  0,   3.77400e+01
0,    1.100,  2,  1,   2.07750e+01,   2.07832e+01,   2.08079e+01,   2.08489e+01,   2.09065e+01,   2.09805e+01,   2.10709e+01,   2.11778e+01,   2.13011e+01,   2.14409e+01,   2.15971e+01,   2.17699e+01,   2.20216e+01
0,    1.100,  3,  2,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   7.63700e-02,   4.61000e-02
0,    1.100,  3,  3,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   3.63000e-03,   2.19000e-03
0,    1.200,  1,  0,   4.49400e+01
0,    1.200,  2,  1,   1.97499e+01,   1.97615e+01,   1.97964e+01,   1.98544e+01,   1.99357e+01,   2.00403e+01,   2.01680e+01,   2.03191e+01,   2.04934e+01,   2.06909e+01,   2.09117e+01,   2.11559e+01,   2.14547e+01
0,    1.200,  3,  2,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   7.62800e-02,   6.54800e-02
0,    1.200,  3,  3,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.72000e-03,   3.19000e-03
0,    1.300,  1,  0,   5.33900e+01
0,    1.300,  2,  1,   1.84581e+01,   1.84744e+01,   1.85233e+01,   1.86050e+01,   1.87193e+01,   1.88662e+01,   1.90459e+01,   1.92582e+01,   1.95033e+01,   1.97811e+01,   2.00916e+01,   2.04350e+01,   2.07887e+01
0,    1.300,  3,  2,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   7.62000e-02,   9.26500e-02
0,    1.300,  3,  3,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   3.80000e-03,   4.62000e-03
0,    1.400,  1,  0,   6.32800e+01
0,    1.400,  2,  1,   1.68322e+01,   1.68550e+01,   1.69234e+01,   1.70373e+01,   1.71969e+01,   1.74022e+01,   1.76531e+01,   1.79497e+01,   1.82920e+01,   1.86802e+01,   1.91141e+01,   1.95941e+01,   2.00111e+01
0,    1.400,  3,  2,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   7.61300e-02,   1.30510e-01
0,    1.400,  3,  3,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   3.87000e-03,   6.63000e-03
0,    1.500,  1,  0,   7.47600e+01
0,    1.500,  2,  1,   1.47964e+01,   1.48279e+01,   1.49226e+01,   1.50803e+01,   1.53012e+01,   1.55853e+01,   1.59327e+01,   1.63435e+01,   1.68177e+01,   1.73555e+01,   1.79569e+01,   1.86223e+01,   1.91117e+01
0,    1.500,  3,  2,   7.60600e-02,   7.60600e-02,   7.60600e-02,   7.60700e-02,   7.60700e-02,   7.60700e-02,   7.60700e-02,   7.60700e-02,   7.60700e-02,   7.60700e-02,   7.60800e-02,   7.60800e-02,   1.82870e-01
0,    1.500,  3,  3,   3.94000e-03,   3.94000e-03,   3.94000e-03,   3.93000e-03,   3.93000e-03,   3.93000e-03,   3.93000e-03,   3.93000e-03,   3.93000e-03,   3.93000e-03,   3.92000e-03,   3.92000e-03,   9.43000e-03
0,    1.600,  1,  0,   8.79700e+01
0,    1.600,  2,  1,   1.22789e+01,   1.23220e+01,   1.24512e+01,   1.26667e+01,   1.29686e+01,   1.33570e+01,   1.38321e+01,   1.43940e+01,   1.50431e+01,   1.57796e+01,   1.66038e+01,   1.75158e+01,   1.80861e+01
0,    1.600,  3,  2,   7.60100e-02,   7.60100e-02,   7.60100e-02,   7.60100e-02,   7.60100e-02,   7.60100e-02,   7.60100e-02,   7.60200e-02,   7.60200e-02,   7.60200e-02,   7.60200e-02,   7.60300e-02,   2.54530e-01
0,    1.600,  3,  3,   3.99000e-03,   3.99000e-03,   3.99000e-03,   3.99000e-03,   3.99000e-03,   3.99000e-03,   3.99000e-03,   3.98000e-03,   3.98000e-03,   3.98000e-03,   3.98000e-03,   3.97000e-03,   1.33000e-02
0,    1.700,  1,  0,   1.02990e+02
0,    1.700,  2,  1,   9.25362e+00,   9.31120e+00,   9.48401e+00,   9.77226e+00,   1.01763e+01,   1.06965e+01,   1.13334e+01,   1.20876e+01,   1.29597e+01,   1.39503e+01,   1.50600e+01,   1.62895e+01,   1.69460e+01
0,    1.700,  3,  2,   7.59500e-02,   7.59500e-02,   7.59500e-02,   7.59500e-02,   7.59500e-02,   7.59600e-02,   7.59600e-02,   7.59600e-02,   7.59700e-02,   7.59700e-02,   7.59800e-02,   7.59800e-02,   3.51330e-01
0,    1.700,  3,  3,   4.05000e-03,   4.05000e-03,   4.05000e-03,   4.05000e-03,   4.05000e-03,   4.04000e-03,   4.04000e-03,   4.04000e-03,   4.03000e-03,   4.03000e-03,   4.02000e-03,   4.02000e-03,   1.85600e-02
0,    1.800,  1,  0,   1.19720e+02
0,    1.800,  2,  1,   5.87595e+00,   5.94955e+00,   6.17061e+00,   6.53990e+00,   7.05860e+00,   7.72821e+00,   8.55037e+00,   9.52679e+00,   1.06592e+01,   1.19491e+01,   1.33981e+01,   1.50075e+01,   1.57469e+01
0,    1.800,  3,  2,   7.58700e-02,   7.58700e-02,   7.58700e-02,   7.58800e-02,   7.58900e-02,   7.58900e-02,   7.59000e-02,   7.59100e-02,   7.59200e-02,   7.59300e-02,   7.59400e-02,   7.59400e-02,   4.79530e-01
0,    1.800,  3,  3,   4.13000e-03,   4.13000e-03,   4.13000e-03,   4.12000e-03,   4.11000e-03,   4.11000e-03,   4.10000e-03,   4.09000e-03,   4.08000e-03,   4.07000e-03,   4.06000e-03,   4.06000e-03,   2.56000e-02
0,    1.900,  1,  0,   1.37610e+02
0,    1.900,  2,  1,   2.83360e+00,   2.91758e+00,   3.17079e+00,   3.59679e+00,   4.20063e+00,   4.98812e+00,   5.96504e+00,   7.13676e+00,   8.50803e+00,   1.00829e+01,   1.18649e+01,   1.38569e+01,   1.46529e+01
0,    1.900,  3,  2,   7.57500e-02,   7.57500e-02,   7.57600e-02,   7.57700e-02,   7.57900e-02,   7.58100e-02,   7.58300e-02,   7.58500e-02,   7.58600e-02,   7.58800e-02,   7.58900e-02,   7.59000e-02,   6.43950e-01
0,    1.900,  3,  3,   4.25000e-03,   4.25000e-03,   4.24000e-03,   4.23000e-03,   4.21000e-03,   4.19000e-03,   4.17000e-03,   4.15000e-03,   4.14000e-03,   4.12000e-03,   4.11000e-03,   4.10000e-03,   3.47100e-02
0,    2.000,  1,  0,   1.55520e+02
0,    2.000,  2,  1,   1.14280e+00,   1.21997e+00,   1.45618e+00,   1.86404e+00,   2.46045e+00,   3.26296e+00,   4.28746e+00,   5.54727e+00,   7.05305e+00,   8.81318e+00,   1.08342e+01,   1.31214e+01,   1.39302e+01
0,    2.000,  3,  2,   7.55100e-02,   7.55300e-02,   7.55600e-02,   7.56000e-02,   7.56500e-02,   7.56900e-02,   7.57300e-02,   7.57700e-02,   7.58000e-02,   7.58300e-02,   7.58500e-02,   7.58700e-02,   8.43560e-01
0,    2.000,  3,  3,   4.49000e-03,   4.47000e-03,   4.44000e-03,   4.40000e-03,   4.35000e-03,   4.31000e-03,   4.27000e-03,   4.23000e-03,   4.20000e-03,   4.17000e-03,   4.15000e-03,   4.13000e-03,   4.58900e-02
0,    2.100,  1,  0,   1.72490e+02
0,    2.100,  2,  1,   5.10020e-01,   5.69840e-01,   7.58290e-01,   1.09973e+00,   1.62719e+00,   2.37495e+00,   3.37331e+00,   4.64663e+00,   6.21351e+00,   8.08789e+00,   1.02801e+01,   1.27980e+01,   1.36008e+01
0,    2.100,  3,  2,   7.51300e-02,   7.51600e-02,   7.52400e-02,   7.53400e-02,   7.54500e-02,   7.55400e-02,   7.56200e-02,   7.56800e-02,   7.57300e-02,   7.57700e-02,   7.58000e-02,   7.58300e-02,   1.06991e+00
0,    2.100,  3,  3,   4.87000e-03,   4.84000e-03,   4.76000e-03,   4.66000e-03,   4.55000e-03,   4.46000e-03,   4.38000e-03,   4.32000e-03,   4.27000e-03,   4.23000e-03,   4.20000e-03,   4.17000e-03,   5.87000e-02
0,    2.200,  1,  0,   1.88290e+02
0,    2.200,  2,  1,   2.60960e-01,   3.04340e-01,   4.45620e-01,   7.16490e-01,   1.16327e+00,   1.83724e+00,   2.78536e+00,   4.04552e+00,   5.64612e+00,   7.60775e+00,   9.94527e+00,   1.26694e+01,   1.34652e+01
0,    2.200,  3,  2,   7.46400e-02,   7.46900e-02,   7.48400e-02,   7.50300e-02,   7.52100e-02,   7.53700e-02,   7.54900e-02,   7.55900e-02,   7.56600e-02,   7.57200e-02,   7.57600e-02,   7.58000e-02,   1.31313e+00
0,    2.200,  3,  3,   5.36000e-03,   5.31000e-03,   5.16000e-03,   4.97000e-03,   4.79000e-03,   4.63000e-03,   4.51000e-03,   4.41000e-03,   4.34000e-03,   4.28000e-03,   4.24000e-03,   4.20000e-03,   7.26100e-02
0,    2.300,  1,  0,   2.02900e+02
0,    2.300,  2,  1,   1.46530e-01,   1.77410e-01,   2.81160e-01,   4.91380e-01,   8.62050e-01,   1.45905e+00,   2.34702e+00,   3.57969e+00,   5.19727e+00,   7.22834e+00,   9.69295e+00,   1.26053e+01,   1.33947e+01
0,    2.300,  3,  2,   7.40600e-02,   7.41400e-02,   7.43600e-02,   7.46600e-02,   7.49400e-02,   7.51800e-02,   7.53600e-02,   7.54900e-02,   7.55900e-02,   7.56600e-02,   7.57200e-02,   7.57600e-02,   1.56534e+00
0,    2.300,  3,  3,   5.94000e-03,   5.86000e-03,   5.64000e-03,   5.34000e-03,   5.06000e-03,   4.82000e-03,   4.64000e-03,   4.51000e-03,   4.41000e-03,   4.34000e-03,   4.28000e-03,   4.24000e-03,   8.72100e-02
0,    2.400,  1,  0,   2.16340e+02
0,    2.400,  2,  1,   8.80800e-02,   1.10130e-01,   1.86290e-01,   3.48460e-01,   6.52920e-01,   1.17605e+00,   1.99965e+00,   3.19509e+00,   4.81635e+00,   6.90134e+00,   9.47604e+00,   1.25584e+01,   1.33420e+01
0,    2.400,  3,  2,   7.34400e-02,   7.35500e-02,   7.38500e-02,   7.42500e-02,   7.46400e-02,   7.49700e-02,   7.52200e-02,   7.53900e-02,   7.55200e-02,   7.56100e-02,   7.56800e-02,   7.57300e-02,   1.82036e+00
0,    2.400,  3,  3,   6.56000e-03,   6.45000e-03,   6.15000e-03,   5.75000e-03,   5.36000e-03,   5.03000e-03,   4.78000e-03,   4.61000e-03,   4.48000e-03,   4.39000e-03,   4.32000e-03,   4.27000e-03,   1.02130e-01
0,    2.500,  1,  0,   2.28640e+02
0,    2.500,  2,  1,   5.60000e-02,   7.19900e-02,   1.28550e-01,   2.54250e-01,   5.03880e-01,   9.59760e-01,   1.71882e+00,   2.87094e+00,   4.48554e+00,   6.61109e+00,   9.28019e+00,   1.25148e+01,   1.32929e+01
0,    2.500,  3,  2,   7.27900e-02,   7.29200e-02,   7.32900e-02,   7.38000e-02,   7.43200e-02,   7.47400e-02,   7.50600e-02,   7.52900e-02,   7.54400e-02,   7.55600e-02,   7.56400e-02,   7.57000e-02,   2.07316e+00
0,    2.500,  3,  3,   7.21000e-03,   7.08000e-03,   6.71000e-03,   6.20000e-03,   5.68000e-03,   5.26000e-03,   4.94000e-03,   4.71000e-03,   4.56000e-03,   4.44000e-03,   4.36000e-03,   4.30000e-03,   1.17120e-01
0,    2.600,  1,  0,   2.39820e+02
0,    2.600,  2,  1,   3.74100e-02,   4.92600e-02,   9.20400e-02,   1.90670e-01,   3.96320e-01,   7.93290e-01,   1.49059e+00,   2.59639e+00,   4.19678e+00,   6.35180e+00,   9.10122e+00,   1.24713e+01,   1.32442e+01
0,    2.600,  3,  2,   7.21300e-02,   7.22700e-02,   7.27200e-02,   7.33300e-02,   7.39600e-02,   7.45000e-02,   7.49000e-02,   7.51800e-02,   7.53700e-02,   7.55000e-02,   7.55900e-02,   7.56600e-02,   2.31963e+00
0,    2.600,  3,  3,   7.87000e-03,   7.73000e-03,   7.28000e-03,   6.67000e-03,   6.04000e-03,   5.50000e-03,   5.10000e-03,   4.82000e-03,   4.63000e-03,   4.50000e-03,   4.41000e-03,   4.34000e-03,   1.31950e-01
0,    2.700,  1,  0,   2.49950e+02
0,    2.700,  2,  1,   2.61300e-02,   3.51400e-02,   6.82200e-02,   1.46890e-01,   3.17910e-01,   6.64660e-01,   1.30483e+00,   2.36376e+00,   3.94479e+00,   6.12035e+00,   8.93778e+00,   1.24278e+01,   1.31957e+01
0,    2.700,  3,  2,   7.14500e-02,   7.16200e-02,   7.21300e-02,   7.28400e-02,   7.35900e-02,   7.42400e-02,   7.47200e-02,   7.50600e-02,   7.52900e-02,   7.54400e-02,   7.55500e-02,   7.56300e-02,   2.55657e+00
0,    2.700,  3,  3,   8.55000e-03,   8.38000e-03,   7.87000e-03,   7.16000e-03,   6.41000e-03,   5.76000e-03,   5.28000e-03,   4.94000e-03,   4.71000e-03,   4.56000e-03,   4.45000e-03,   4.37000e-03,   1.46430e-01
0,    2.800,  1,  0,   2.59070e+02
0,    2.800,  2,  1,   1.90200e-02,   2.60500e-02,   5.22300e-02,   1.16170e-01,   2.60170e-01,   5.64880e-01,   1.15353e+00,   2.16679e+00,   3.72533e+00,   5.91439e+00,   8.78916e+00,   1.23849e+01,   1.31482e+01
