Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = Glu
Var Index  2 = Live

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Grid  6,  Grid  7,  Grid  8,  Grid  9,  Grid  10,  Grid  11,  Grid  12,  Bulk
0,    0.000,  1,  0,   1.00000e+01
0,    0.000,  2,  1,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02,   1.00000e+02
0,    0.000,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   0.00000e+00
0,    0.100,  1,  0,   2.04600e+01
0,    0.100,  2,  1,   9.55201e+01,   9.55220e+01,   9.55279e+01,   9.55375e+01,   9.55511e+01,   9.55686e+01,   9.55899e+01,   9.56151e+01,   9.56442e+01,   9.56771e+01,   9.57140e+01,   9.57565e+01,   9.69209e+01
0,    0.100,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.37400e-02
0,    0.200,  1,  0,   4.05300e+01
0,    0.200,  2,  1,   8.92642e+01,   8.92718e+01,   8.92947e+01,   8.93329e+01,   8.93864e+01,   8.94551e+01,   8.95391e+01,   8.96383e+01,   8.97529e+01,   8.98827e+01,   9.00277e+01,   9.01900e+01,   9.24964e+01
0,    0.200,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   4.00920e-01
0,    0.300,  1,  0,   7.56200e+01
0,    0.300,  2,  1,   7.70845e+01,   7.71110e+01,   7.71905e+01,   7.73231e+01,   7.75088e+01,   7.77474e+01,   7.80392e+01,   7.83839e+01,   7.87818e+01,   7.92327e+01,   7.97367e+01,   8.02989e+01,   8.45825e+01
0,    0.300,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   1.53323e+00
0,    0.400,  1,  0,   1.28020e+02
0,    0.400,  2,  1,   5.43310e+01,   5.44063e+01,   5.46324e+01,   5.50092e+01,   5.55367e+01,   5.62152e+01,   5.70445e+01,   5.80248e+01,   5.91562e+01,   6.04389e+01,   6.18729e+01,   6.34626e+01,   7.06302e+01
0,    0.400,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   4.95446e+00
0,    0.500,  1,  0,   1.88670e+02
0,    0.500,  2,  1,   2.04635e+01,   2.06163e+01,   2.10747e+01,   2.18397e+01,   2.29123e+01,   2.42939e+01,   2.59864e+01,   2.79916e+01,   3.03116e+01,   3.29483e+01,   3.59036e+01,   3.91775e+01,   4.92039e+01
0,    0.500,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   1.29097e+01
0,    0.600,  1,  0,   2.25420e+02
0,    0.600,  2,  1,   2.09644e+00,   2.20711e+00,   2.54536e+00,   3.12866e+00,   3.98222e+00,   5.13484e+00,   6.61522e+00,   8.44967e+00,   1.06609e+01,   1.32680e+01,   1.62865e+01,   1.97286e+01,   2.85486e+01
0,    0.600,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   2.51648e+01
0,    0.700,  1,  0,   2.22030e+02
0,    0.700,  2,  1,   7.53760e-01,   8.08070e-01,   9.76920e-01,   1.27762e+00,   1.73721e+00,   2.38969e+00,   3.27245e+00,   4.42275e+00,   5.87498e+00,   7.65914e+00,   9.80040e+00,   1.23197e+01,   1.88712e+01
0,    0.700,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.53625e+01
0,    0.800,  1,  0,   2.08040e+02
